"Crop","GCM","Impact","Has","prod","yield","low_imp","mid_imp","hig_imp","dfr_low","dfr_mid","dfr_hig"
"Mango","ACCESS-CM2","cope",1098.01496036071,101540.618,19.3782170056913,17.4403953051221,16.4714844548376,15.502573604553,101523.177604695,101524.146515545,101525.115426395
"Mango","ACCESS-ESM1-5","cope",1748.25440358743,101540.618,18.413987573246,16.5725888159214,15.6518894372591,14.7311900585968,101524.045411184,101524.966110563,101525.886809941
"Mango","AWI-CM-1-1-MR","cope",3352.8992119031,101540.618,18.8406735982817,16.9566062384536,16.0145725585395,15.0725388786254,101523.661393762,101524.603427441,101525.545461121
"Mango","BCC-CSM2-MR","cope",2214.79066645354,101540.618,18.5272283503627,16.6745055153264,15.7481440978083,14.8217826802901,101523.943494485,101524.869855902,101525.79621732
"Mango","CanESM5-CanOE","cope",2235.02347636689,101540.618,17.0565886924596,15.3509298232137,14.4981003885907,13.6452709539677,101525.267070177,101526.119899611,101526.972729046
"Mango","CanESM5","cope",2235.02347636689,101540.618,17.0565886924596,15.3509298232137,14.4981003885907,13.6452709539677,101525.267070177,101526.119899611,101526.972729046
"Mango","CMCC-ESM2","cope",3509.50461339392,101540.618,18.4571199023336,16.6114079121002,15.6885519169835,14.7656959218669,101524.006592088,101524.929448083,101525.852304078
"Mango","CNRM-CM6-1-HR","cope",2290.48042818997,101540.618,17.2654969805063,15.5389472824557,14.6756724334304,13.812397584405,101525.079052718,101525.942327567,101526.805602416
"Mango","CNRM-CM6-1","cope",2290.48042818997,101540.618,17.2654969805063,15.5389472824557,14.6756724334304,13.812397584405,101525.079052718,101525.942327567,101526.805602416
"Mango","CNRM-ESM2-1","cope",3937.01686061267,101540.618,17.6583816810282,15.8925435129254,15.0096244288739,14.1267053448225,101524.725456487,101525.608375571,101526.491294655
"Mango","EC-Earth3-Veg-LR","cope",657.928659405559,101540.618,20.331338386418,18.2982045477762,17.2816376284553,16.2650707091344,101522.319795452,101523.336362372,101524.352929291
"Mango","EC-Earth3-Veg","cope",657.928659405559,101540.618,20.331338386418,18.2982045477762,17.2816376284553,16.2650707091344,101522.319795452,101523.336362372,101524.352929291
"Mango","GFDL-ESM4","cope",1098.11578354705,101540.618,19.3766672488419,17.4390005239577,16.4701671615156,15.5013337990735,101523.178999476,101524.147832838,101525.116666201
"Mango","GISS-E2-1-G","cope",2592.08096800838,101540.618,16.8789973165587,15.1910975849028,14.3471477190749,13.503197853247,101525.426902415,101526.270852281,101527.114802147
"Mango","GISS-E2-1-H","cope",2410.65085584391,101540.618,17.5922800934684,15.8330520841216,14.9534380794481,14.0738240747747,101524.784947916,101525.664561921,101526.544175925
"Mango","INM-CM4-8","cope",2028.81553993002,101540.618,18.417780551782,16.5760024966038,15.6551134690147,14.7342244414256,101524.041997503,101524.962886531,101525.883775559
"Mango","INM-CM5-0","cope",2407.76970367972,101540.618,17.6781387810316,15.9103249029285,15.0264179638769,14.1425110248253,101524.707675097,101525.591582036,101526.475488975
"Mango","IPSL-CM6A-LR","cope",2796.02378021274,101540.618,17.1311281077729,15.4180152969956,14.561458891607,13.7049024862183,101525.199984703,101526.056541108,101526.913097514
"Mango","MIROC-ES2L","cope",2582.52314453665,101540.618,17.0283033731439,15.3254730358295,14.4740578671723,13.6226426985151,101525.292526964,101526.143942133,101526.995357301
"Mango","MIROC6","cope",3235.19161363877,101540.618,18.0526095731414,16.2473486158273,15.3447181371702,14.4420876585132,101524.370651384,101525.273281863,101526.175912341
"Mango","MPI-ESM1-2-HR","cope",4116.61296119727,101540.618,19.5311309896946,17.5780178907251,16.6014613412404,15.6249047917556,101523.039982109,101524.016538659,101524.993095208
"Mango","MPI-ESM1-2-LR","cope",3840.41177492402,101540.618,18.2405593970259,16.4165034573233,15.504475487472,14.5924475176207,101524.201496543,101525.113524513,101526.025552482
"Mango","MRI-ESM2-0","cope",2790.21091876272,101540.618,17.3938341692427,15.6544507523185,14.7847590438563,13.9150673353942,101524.963549248,101525.833240956,101526.702932665
"Mango","UKESM1-0-LL","cope",2114.33082597796,101540.618,17.9381956505517,16.1443760854966,15.247466302969,14.3505565204414,101524.473623914,101525.370533697,101526.26744348
"Cocoa","ACCESS-CM2","adjust",489112.821994185,934489.586,0.503499890385215,0.402799912308172,0.35244992326965,0.302099934231129,934489.183200088,934489.233550077,934489.283900066
"Cocoa","ACCESS-ESM1-5","adjust",688954.722101629,934489.586,0.516775125891887,0.413420100713509,0.361742588124321,0.310065075535132,934489.172579899,934489.224257412,934489.275934924
"Cocoa","AWI-CM-1-1-MR","adjust",904553.746464036,934489.586,0.536536864868537,0.42922949189483,0.375575805407976,0.321922118921122,934489.156770508,934489.210424195,934489.264077881
"Cocoa","BCC-CSM2-MR","adjust",850247.365425766,934489.586,0.555751422374957,0.444601137899966,0.38902599566247,0.333450853424974,934489.141398862,934489.196974004,934489.252549147
"Cocoa","CanESM5-CanOE","adjust",526679.590198651,934489.586,0.523358064654035,0.418686451723228,0.366350645257824,0.314014838792421,934489.167313548,934489.219649355,934489.271985161
"Cocoa","CanESM5","adjust",526679.590198651,934489.586,0.523358064654035,0.418686451723228,0.366350645257824,0.314014838792421,934489.167313548,934489.219649355,934489.271985161
"Cocoa","CMCC-ESM2","adjust",416500.835608453,934489.586,0.537622826552975,0.43009826124238,0.376335978587082,0.322573695931785,934489.155901739,934489.209664021,934489.263426304
"Cocoa","CNRM-CM6-1-HR","adjust",442312.910393476,934489.586,0.539855377958373,0.431884302366698,0.377898764570861,0.323913226775024,934489.154115698,934489.208101235,934489.262086773
"Cocoa","CNRM-CM6-1","adjust",442312.910393476,934489.586,0.539855377958373,0.431884302366698,0.377898764570861,0.323913226775024,934489.154115698,934489.208101235,934489.262086773
"Cocoa","CNRM-ESM2-1","adjust",786777.361309558,934489.586,0.481920199952011,0.385536159961609,0.337344139966407,0.289152119971206,934489.20046384,934489.24865586,934489.29684788
"Cocoa","EC-Earth3-Veg-LR","adjust",779032.945661753,934489.586,0.505043332497598,0.404034665998078,0.353530332748318,0.303025999498559,934489.181965334,934489.232469667,934489.282974001
"Cocoa","EC-Earth3-Veg","adjust",779032.945661753,934489.586,0.505043332497598,0.404034665998078,0.353530332748318,0.303025999498559,934489.181965334,934489.232469667,934489.282974001
"Cocoa","GFDL-ESM4","adjust",817709.669341117,934489.586,0.520814443490461,0.416651554792369,0.364570110443323,0.312488666094276,934489.169348445,934489.22142989,934489.273511334
